year,index_fixed,yoy
2020,1.0,
2021,1.0463291521132476,0.04632915211324762
2022,1.124828419202439,0.07502349230225325
2023,1.1621891375736235,0.03321459320673581
2024,1.2040002713954596,0.03597618706807726
2025,1.29289599792317,0.07383364326378317
